Card Name,Passcode / Canonical ID,Deck(s),Quantity,Category,Official Current Text Verified,Primary Source URL,Secondary Source URL,Effect Clauses Count,Mechanics Used,Special Ruling Needed,Ruling Verified,Implementation Status,Test Status,Notes
Divine Dragon Apocralyph,20277376,Blue-Eyes Dragon Guard,1,Effect Monster,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=9910&request_locale=en,,0,discard-cost; gy-interaction; once-per-turn; targeting,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Dragon Shrine,41620959,Blue-Eyes Dragon Guard,1,Normal Spell,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=10590&request_locale=en,,0,gy-interaction; hard-opt-activation,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Dragonic Tactics,72549351,Blue-Eyes Dragon Guard,1,Normal Spell,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=8422&request_locale=en,,0,special-summon; tribute,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Enemy Controller,98045062,Fairy-Tail Tribute Guard,1,Quick-Play Spell,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=5505&request_locale=en,,0,control-change; targeting; tribute,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Eria the Water Charmer,74364659,Fairy-Tail Tribute Guard,1,Effect Monster,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=6336&request_locale=en,,0,control-change; flip-effect; targeting,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Fairy Tail - Luna,86937530,Fairy-Tail Tribute Guard,1,Effect Monster,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=12952&request_locale=en,,0,gy-interaction; negation; normal-summon-trigger; once-per-turn; quick-effect; return-to-hand; targeting,R11,PENDING,NOT_IMPLEMENTED,NOT_TESTED,
Fairy Tail - Rella,52022648,Fairy-Tail Tribute Guard,1,Effect Monster,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=12770&request_locale=en,,0,discard-cost; equip; gy-interaction; once-per-turn; return-to-hand; targeting,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Fairy Tail - Sleeper,42921475,Fairy-Tail Tribute Guard,1,Effect Monster,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=12625&request_locale=en,,0,flip-effect; once-per-turn; quick-effect; special-summon; tribute,R5,PENDING,NOT_IMPLEMENTED,NOT_TESTED,
Fiendish Chain,50078509,Blue-Eyes Dragon Guard,1,Continuous Trap,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=8675&request_locale=en,,0,destruction; negation,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Five Brothers Explosion,70946699,Blue-Eyes Dragon Guard,1,Continuous Trap,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=10603&request_locale=en,,0,gy-interaction,R16,PENDING,NOT_IMPLEMENTED,NOT_TESTED,
Flamvell Guard,21615956,Blue-Eyes Dragon Guard,1,Normal Monster,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=7535&request_locale=en,,0,vanilla-normal-monster,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Gagagashield,18446701,Fairy-Tail Tribute Guard,1,Normal Trap,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=9856&request_locale=en,,0,equip; targeting,R10,PENDING,NOT_IMPLEMENTED,NOT_TESTED,
Gladiator Beast Andal,90582719,Fairy-Tail Tribute Guard,1,Normal Monster,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=7365&request_locale=en,,0,vanilla-normal-monster,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Herald of Creation,66337215,Blue-Eyes Dragon Guard,1,Effect Monster,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=7246&request_locale=en,,0,discard-cost; gy-interaction; once-per-turn; targeting,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Hidden Springs of the Far East,94317736,Fairy-Tail Tribute Guard,1,Field Spell,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=16027&request_locale=en,,0,hard-opt-activation; once-per-turn; targeting,R14,PENDING,NOT_IMPLEMENTED,NOT_TESTED,
Hieratic Dragon of Tefnuit,77901552,Blue-Eyes Dragon Guard,1,Effect Monster,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=10045&request_locale=en,,0,gy-interaction; special-summon,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Honest,37742478,Fairy-Tail Tribute Guard,1,Effect Monster,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=7574&request_locale=en,,0,atk-modifier; damage-step; gy-interaction; quick-effect; return-to-hand,R20,PENDING,NOT_IMPLEMENTED,NOT_TESTED,
Inari Fire,62953041,Fairy-Tail Tribute Guard,1,Effect Monster,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=10397&request_locale=en,,0,gy-interaction; once-per-turn; special-summon,R18,PENDING,NOT_IMPLEMENTED,NOT_TESTED,
Interdimensional Matter Transporter,36261276,Blue-Eyes Dragon Guard,1,Normal Trap,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=5560&request_locale=en,,0,banish; targeting,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Judge of the Ice Barrier,53535814,Blue-Eyes Dragon Guard,1,Effect Monster,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=15981&request_locale=en,,0,banish; gy-interaction; once-per-turn; targeting,R2,PENDING,NOT_IMPLEMENTED,NOT_TESTED,
Junk Blader,51855378,Blue-Eyes Dragon Guard,1,Effect Monster,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=8735&request_locale=en,,0,atk-modifier; banish; gy-interaction,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Kaibaman,34627841,Blue-Eyes Dragon Guard,1,Effect Monster,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=6298&request_locale=en,,0,special-summon; tribute,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Kaiser Glider,52824910,Blue-Eyes Dragon Guard,1,Effect Monster,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=5353&request_locale=en,,0,gy-interaction; return-to-hand; targeting,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Kaiser Sea Horse,17444133,Fairy-Tail Tribute Guard,1,Effect Monster,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=5409&request_locale=en,,0,tribute,R8,PENDING,NOT_IMPLEMENTED,NOT_TESTED,
Kunai with Chain,37390589,Blue-Eyes Dragon Guard,1,Normal Trap,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4657&request_locale=en,,0,atk-modifier; equip; targeting,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Luster Dragon,11091375,Blue-Eyes Dragon Guard,1,Normal Monster,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=5644&request_locale=en,,0,vanilla-normal-monster,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Maiden with Eyes of Blue,88241506,Blue-Eyes Dragon Guard,1,Effect Monster,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=10588&request_locale=en,,0,gy-interaction; negation; quick-effect; special-summon,R3,PENDING,NOT_IMPLEMENTED,NOT_TESTED,
Metaphys Armed Dragon,89189982,Fairy-Tail Tribute Guard,2,Normal Monster,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=11212&request_locale=en,,0,vanilla-normal-monster,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Mirage Dragon,15960641,Blue-Eyes Dragon Guard,2,Effect Monster,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=6196&request_locale=en,,0,battle-phase-restriction,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Monster Reborn,83764719,Fairy-Tail Tribute Guard,1,Normal Spell,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4842&request_locale=en,,0,gy-interaction; special-summon; targeting,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Nefarious Archfiend Eater of Nefariousness,60666820,Fairy-Tail Tribute Guard,1,Effect Monster,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=11244&request_locale=en,,0,destruction; gy-interaction; once-per-turn; special-summon; targeting,R17,PENDING,NOT_IMPLEMENTED,NOT_TESTED,
One for One,2295440,Blue-Eyes Dragon Guard,1,Normal Spell,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=8197&request_locale=en,,0,gy-interaction; special-summon,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Phoenix Wing Wind Blast,63356631,Fairy-Tail Tribute Guard,1,Normal Trap,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=6279&request_locale=en,,0,deck-placement; discard-cost; targeting,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Rabidragon,95788410,Blue-Eyes Dragon Guard,1,Normal Monster,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=9720&request_locale=en,,0,vanilla-normal-monster,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Ranryu,44680819,Fairy-Tail Tribute Guard,1,Effect Monster,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=14482&request_locale=en,,0,gy-interaction; special-summon; targeting,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Rider of the Storm Winds,14235211,Blue-Eyes Dragon Guard,1,Effect Monster,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=10589&request_locale=en,,0,destruction; equip; piercing; targeting,R9,PENDING,NOT_IMPLEMENTED,NOT_TESTED,
Runick Flashing Fire,68957034,Fairy-Tail Tribute Guard,1,Quick-Play Spell,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=17374&request_locale=en,,0,banish; battle-phase-restriction; destruction; hard-opt-activation; special-summon; targeting,R1,PENDING,NOT_IMPLEMENTED,NOT_TESTED,
Sabersaurus,37265642,Fairy-Tail Tribute Guard,1,Normal Monster,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=6796&request_locale=en,,0,vanilla-normal-monster,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Sealing Ceremony of Suiton,81443745,Fairy-Tail Tribute Guard,1,Continuous Trap,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=9798&request_locale=en,,0,banish; gy-interaction; once-per-turn; targeting,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Shining Angel,95956346,Blue-Eyes Dragon Guard; Fairy-Tail Tribute Guard,2,Effect Monster,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4924&request_locale=en,,1,gy-interaction; special-summon,NO,N/A,IMPLEMENTED,TESTED,Scripts/cards/registry/ShiningAngel.gd
Silver's Cry,87025064,Blue-Eyes Dragon Guard,1,Quick-Play Spell,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=10591&request_locale=en,,0,gy-interaction; hard-opt-activation; special-summon; targeting,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Soul Exchange,68005187,Fairy-Tail Tribute Guard,1,Normal Spell,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=5099&request_locale=en,,0,battle-phase-restriction; targeting; tribute,R7,PENDING,NOT_IMPLEMENTED,NOT_TESTED,
Spiritual Fire Art - Kurenai,42945701,Fairy-Tail Tribute Guard,1,Normal Trap,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=6441&request_locale=en,,0,tribute,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Spiritual Water Art - Aoi,6540606,Fairy-Tail Tribute Guard,1,Normal Trap,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=6440&request_locale=en,,0,gy-interaction; tribute,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Spiritual Wind Art - Miyabi,79333300,Fairy-Tail Tribute Guard,1,Normal Trap,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=6442&request_locale=en,,0,deck-placement; targeting; tribute,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Stamping Destruction,81385346,Blue-Eyes Dragon Guard,1,Normal Spell,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=5345&request_locale=en,,0,destruction; targeting,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Straight Flush,25173686,Blue-Eyes Dragon Guard,1,Normal Trap,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=6911&request_locale=en,,0,destruction,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Swords of Revealing Light,72302403,Fairy-Tail Tribute Guard,1,Normal Spell,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=4354&request_locale=en,,0,destruction,R6,PENDING,NOT_IMPLEMENTED,NOT_TESTED,
The Monarchs Awaken,26822796,Fairy-Tail Tribute Guard,1,Normal Trap,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=10963&request_locale=en,,0,immunity; targeting; tribute,R12,PENDING,NOT_IMPLEMENTED,NOT_TESTED,
The Phantom Knights of Shadow Veil,77462146,Fairy-Tail Tribute Guard,1,Normal Trap,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=11404&request_locale=en,,0,atk-modifier; banish; gy-interaction; special-summon; targeting,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
The White Stone of Legend,79814787,Blue-Eyes Dragon Guard,1,Effect Monster,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=7850&request_locale=en,,0,gy-interaction,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Trade-In,38120068,Blue-Eyes Dragon Guard,1,Normal Spell,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=7248&request_locale=en,,0,discard-cost; draw,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Vampiric Koala,1371589,Blue-Eyes Dragon Guard,1,Effect Monster,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=8858&request_locale=en,,0,,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
White Elephant's Gift,18756904,Fairy-Tail Tribute Guard,1,Normal Spell,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=9138&request_locale=en,,0,draw; gy-interaction,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Witchcrafter Golem Aruru,71074418,Fairy-Tail Tribute Guard,1,Effect Monster,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=14483&request_locale=en,,0,gy-interaction; once-per-turn; quick-effect; return-to-hand; special-summon; targeting,R13,PENDING,NOT_IMPLEMENTED,NOT_TESTED,
Wonder Balloons,78574395,Fairy-Tail Tribute Guard,1,Continuous Spell,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=11387&request_locale=en,,0,atk-modifier; counters; gy-interaction; once-per-turn,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
Wynn the Wind Charmer,37744402,Fairy-Tail Tribute Guard,1,Effect Monster,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=6338&request_locale=en,,0,control-change; flip-effect; targeting,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
"Zure, Knight of Dark World",7459013,Fairy-Tail Tribute Guard,1,Normal Monster,YES,https://www.db.yugioh-card.com/yugiohdb/card_search.action?ope=2&cid=6497&request_locale=en,,0,vanilla-normal-monster,NO,N/A,NOT_IMPLEMENTED,NOT_TESTED,
